Freq.	V(n005)
1.27057410520854e+09	(-2.20705727897309e+02dB,-9.78712264739594e+01°)
1.27350308101666e+09	(-2.20461252811825e+02dB,-9.79014157980543e+01°)
1.27643880881134e+09	(-2.20216114416309e+02dB,-9.79318142384603e+01°)
1.27938130415752e+09	(-2.19970307340502e+02dB,-9.79624239919380e+01°)
1.28233058265602e+09	(-2.19723826155844e+02dB,-9.79932472868077e+01°)
1.28528665994361e+09	(-2.19476665374633e+02dB,-9.80242863835168e+01°)
1.28824955169313e+09	(-2.19228819449176e+02dB,-9.80555435752195e+01°)
1.29121927361353e+09	(-2.18980282770928e+02dB,-9.80870211883684e+01°)
1.29419584144998e+09	(-2.18731049669610e+02dB,-9.81187215833202e+01°)
1.29717927098395e+09	(-2.18481114412309e+02dB,-9.81506471549537e+01°)
1.30016957803328e+09	(-2.18230471202570e+02dB,-9.81828003333018e+01°)
1.30316677845229e+09	(-2.17979114179464e+02dB,-9.82151835841972e+01°)
1.30617088813183e+09	(-2.17727037416642e+02dB,-9.82477994099327e+01°)
1.30918192299940e+09	(-2.17474234921371e+02dB,-9.82806503499355e+01°)
1.31219989901920e+09	(-2.17220700633553e+02dB,-9.83137389814578e+01°)
1.31522483219223e+09	(-2.16966428424720e+02dB,-9.83470679202811e+01°)
1.31825673855640e+09	(-2.16711412097023e+02dB,-9.83806398214381e+01°)
1.32129563418657e+09	(-2.16455645382189e+02dB,-9.84144573799494e+01°)
1.32434153519466e+09	(-2.16199121940463e+02dB,-9.84485233315779e+01°)
1.32739445772973e+09	(-2.15941835359534e+02dB,-9.84828404535997e+01°)
1.33045441797808e+09	(-2.15683779153434e+02dB,-9.85174115655927e+01°)
1.33352143216332e+09	(-2.15424946761424e+02dB,-9.85522395302438e+01°)
1.33659551654643e+09	(-2.15165331546846e+02dB,-9.85873272541736e+01°)
1.33967668742593e+09	(-2.14904926795971e+02dB,-9.86226776887812e+01°)
1.34276496113786e+09	(-2.14643725716808e+02dB,-9.86582938311076e+01°)
1.34586035405594e+09	(-2.14381721437898e+02dB,-9.86941787247200e+01°)
1.34896288259165e+09	(-2.14118907007088e+02dB,-9.87303354606162e+01°)
1.35207256319427e+09	(-2.13855275390269e+02dB,-9.87667671781502e+01°)
1.35518941235103e+09	(-2.13590819470106e+02dB,-9.88034770659798e+01°)
1.35831344658715e+09	(-2.13325532044726e+02dB,-9.88404683630366e+01°)
1.36144468246594e+09	(-2.13059405826395e+02dB,-9.88777443595185e+01°)
1.36458313658892e+09	(-2.12792433440158e+02dB,-9.89153083979063e+01°)
1.36772882559584e+09	(-2.12524607422459e+02dB,-9.89531638740047e+01°)
1.37088176616484e+09	(-2.12255920219727e+02dB,-9.89913142380075e+01°)
1.37404197501251e+09	(-2.11986364186944e+02dB,-9.90297629955893e+01°)
1.37720946889394e+09	(-2.11715931586169e+02dB,-9.90685137090231e+01°)
1.38038426460288e+09	(-2.11444614585050e+02dB,-9.91075699983251e+01°)
1.38356637897177e+09	(-2.11172405255289e+02dB,-9.91469355424276e+01°)
1.38675582887188e+09	(-2.10899295571091e+02dB,-9.91866140803804e+01°)
1.38995263121334e+09	(-2.10625277407568e+02dB,-9.92266094125817e+01°)
1.39315680294529e+09	(-2.10350342539119e+02dB,-9.92669254020395e+01°)
1.39636836105593e+09	(-2.10074482637774e+02dB,-9.93075659756643e+01°)
1.39958732257261e+09	(-2.09797689271504e+02dB,-9.93485351255935e+01°)
1.40281370456195e+09	(-2.09519953902494e+02dB,-9.93898369105498e+01°)
1.40604752412990e+09	(-2.09241267885383e+02dB,-9.94314754572325e+01°)
1.40928879842187e+09	(-2.08961622465468e+02dB,-9.94734549617448e+01°)
1.41253754462274e+09	(-2.08681008776863e+02dB,-9.95157796910570e+01°)
1.41579377995707e+09	(-2.08399417840631e+02dB,-9.95584539845063e+01°)
1.41905752168908e+09	(-2.08116840562861e+02dB,-9.96014822553356e+01°)
1.42232878712281e+09	(-2.07833267732724e+02dB,-9.96448689922713e+01°)
1.42560759360218e+09	(-2.07548690020466e+02dB,-9.96886187611420e+01°)
1.42889395851109e+09	(-2.07263097975375e+02dB,-9.97327362065385e+01°)
1.43218789927353e+09	(-2.06976482023693e+02dB,-9.97772260535176e+01°)
1.43548943335365e+09	(-2.06688832466491e+02dB,-9.98220931093496e+01°)
1.43879857825583e+09	(-2.06400139477493e+02dB,-9.98673422653123e+01°)
1.44211535152486e+09	(-2.06110393100850e+02dB,-9.99129784985312e+01°)
1.44543977074592e+09	(-2.05819583248873e+02dB,-9.99590068738695e+01°)
1.44877185354475e+09	(-2.05527699699712e+02dB,-1.00005432545867e+02°)
1.45211161758773e+09	(-2.05234732094979e+02dB,-1.00052260760732e+02°)
1.45545908058195e+09	(-2.04940669937327e+02dB,-1.00099496858385e+02°)
1.45881426027534e+09	(-2.04645502587969e+02dB,-1.00147146274559e+02°)
1.46217717445671e+09	(-2.04349219264141e+02dB,-1.00195214542954e+02°)
1.46554784095590e+09	(-2.04051809036514e+02dB,-1.00243707297453e+02°)
1.46892627764386e+09	(-2.03753260826538e+02dB,-1.00292630274398e+02°)
1.47231250243271e+09	(-2.03453563403736e+02dB,-1.00341989314924e+02°)
1.47570653327588e+09	(-2.03152705382928e+02dB,-1.00391790367365e+02°)
1.47910838816820e+09	(-2.02850675221393e+02dB,-1.00442039489717e+02°)
1.48251808514594e+09	(-2.02547461215973e+02dB,-1.00492742852178e+02°)
1.48593564228699e+09	(-2.02243051500095e+02dB,-1.00543906739754e+02°)
1.48936107771090e+09	(-2.01937434040742e+02dB,-1.00595537554939e+02°)
1.49279440957898e+09	(-2.01630596635336e+02dB,-1.00647641820469e+02°)
1.49623565609442e+09	(-2.01322526908561e+02dB,-1.00700226182159e+02°)
1.49968483550236e+09	(-2.01013212309104e+02dB,-1.00753297411816e+02°)
1.50314196609001e+09	(-2.00702640106319e+02dB,-1.00806862410234e+02°)
1.50660706618673e+09	(-2.00390797386815e+02dB,-1.00860928210278e+02°)
1.51008015416414e+09	(-2.00077671050960e+02dB,-1.00915501980060e+02°)
1.51356124843620e+09	(-1.99763247809301e+02dB,-1.00970591026197e+02°)
1.51705036745932e+09	(-1.99447514178900e+02dB,-1.01026202797173e+02°)
1.52054752973248e+09	(-1.99130456479573e+02dB,-1.01082344886797e+02°)
1.52405275379728e+09	(-1.98812060830052e+02dB,-1.01139025037761e+02°)
1.52756605823806e+09	(-1.98492313144035e+02dB,-1.01196251145304e+02°)
1.53108746168202e+09	(-1.98171199126155e+02dB,-1.01254031260984e+02°)
1.53461698279928e+09	(-1.97848704267839e+02dB,-1.01312373596562e+02°)
1.53815464030302e+09	(-1.97524813843064e+02dB,-1.01371286528010e+02°)
1.54170045294955e+09	(-1.97199512904018e+02dB,-1.01430778599624e+02°)
1.54525443953840e+09	(-1.96872786276634e+02dB,-1.01490858528279e+02°)
1.54881661891247e+09	(-1.96544618556028e+02dB,-1.01551535207801e+02°)
1.55238700995807e+09	(-1.96214994101813e+02dB,-1.01612817713480e+02°)
1.55596563160506e+09	(-1.95883897033289e+02dB,-1.01674715306716e+02°)
1.55955250282694e+09	(-1.95551311224525e+02dB,-1.01737237439813e+02°)
1.56314764264094e+09	(-1.95217220299297e+02dB,-1.01800393760923e+02°)
1.56675107010813e+09	(-1.94881607625903e+02dB,-1.01864194119138e+02°)
1.57036280433354e+09	(-1.94544456311845e+02dB,-1.01928648569747e+02°)
1.57398286446620e+09	(-1.94205749198369e+02dB,-1.01993767379659e+02°)
1.57761126969933e+09	(-1.93865468854858e+02dB,-1.02059561032996e+02°)
1.58124803927037e+09	(-1.93523597573082e+02dB,-1.02126040236865e+02°)
1.58489319246110e+09	(-1.93180117361293e+02dB,-1.02193215927315e+02°)
1.58854674859776e+09	(-1.92835009938162e+02dB,-1.02261099275487e+02°)
1.59220872705115e+09	(-1.92488256726553e+02dB,-1.02329701693962e+02°)
1.59587914723672e+09	(-1.92139838847127e+02dB,-1.02399034843315e+02°)
1.59955802861465e+09	(-1.91789737111775e+02dB,-1.02469110638891e+02°)
1.60324539069003e+09	(-1.91437932016874e+02dB,-1.02539941257789e+02°)
1.60694125301286e+09	(-1.91084403736344e+02dB,-1.02611539146097e+02°)
1.61064563517825e+09	(-1.90729132114536e+02dB,-1.02683917026351e+02°)
1.61435855682647e+09	(-1.90372096658898e+02dB,-1.02757087905252e+02°)
1.61808003764305e+09	(-1.90013276532455e+02dB,-1.02831065081645e+02°)
1.62181009735891e+09	(-1.89652650546067e+02dB,-1.02905862154762e+02°)
1.62554875575047e+09	(-1.89290197150473e+02dB,-1.02981493032749e+02°)
1.62929603263970e+09	(-1.88925894428108e+02dB,-1.03057971941486e+02°)
1.63305194789432e+09	(-1.88559720084680e+02dB,-1.03135313433713e+02°)
1.63681652142779e+09	(-1.88191651440519e+02dB,-1.03213532398462e+02°)
1.64058977319952e+09	(-1.87821665421663e+02dB,-1.03292644070834e+02°)
1.64437172321491e+09	(-1.87449738550685e+02dB,-1.03372664042104e+02°)
1.64816239152549e+09	(-1.87075846937264e+02dB,-1.03453608270191e+02°)
1.65196179822900e+09	(-1.86699966268466e+02dB,-1.03535493090500e+02°)
1.65576996346951e+09	(-1.86322071798741e+02dB,-1.03618335227142e+02°)
1.65958690743754e+09	(-1.85942138339622e+02dB,-1.03702151804570e+02°)
1.66341265037015e+09	(-1.85560140249124e+02dB,-1.03786960359622e+02°)
1.66724721255104e+09	(-1.85176051420804e+02dB,-1.03872778854016e+02°)
1.67109061431069e+09	(-1.84789845272512e+02dB,-1.03959625687287e+02°)
1.67494287602642e+09	(-1.84401494734783e+02dB,-1.04047519710212e+02°)
1.67880401812254e+09	(-1.84010972238879e+02dB,-1.04136480238726e+02°)
1.68267406107045e+09	(-1.83618249704460e+02dB,-1.04226527068359e+02°)
1.68655302538872e+09	(-1.83223298526874e+02dB,-1.04317680489210e+02°)
1.69044093164324e+09	(-1.82826089564051e+02dB,-1.04409961301492e+02°)
1.69433780044731e+09	(-1.82426593122975e+02dB,-1.04503390831663e+02°)
1.69824365246172e+09	(-1.82024778945743e+02dB,-1.04597990949174e+02°)
1.70215850839493e+09	(-1.81620616195165e+02dB,-1.04693784083861e+02°)
1.70608238900310e+09	(-1.81214073439916e+02dB,-1.04790793244012e+02°)
1.71001531509027e+09	(-1.80805118639195e+02dB,-1.04889042035135e+02°)
1.71395730750840e+09	(-1.80393719126896e+02dB,-1.04988554679462e+02°)
1.71790838715757e+09	(-1.79979841595260e+02dB,-1.05089356036224e+02°)
1.72186857498599e+09	(-1.79563452077983e+02dB,-1.05191471622732e+02°)
1.72583789199018e+09	(-1.79144515932772e+02dB,-1.05294927636302e+02°)
1.72981635921508e+09	(-1.78722997823312e+02dB,-1.05399750977056e+02°)
1.73380399775412e+09	(-1.78298861700637e+02dB,-1.05505969271655e+02°)
1.73780082874935e+09	(-1.77872070783860e+02dB,-1.05613610897998e+02°)
1.74180687339159e+09	(-1.77442587540259e+02dB,-1.05722705010936e+02°)
1.74582215292048e+09	(-1.77010373664668e+02dB,-1.05833281569048e+02°)
1.74984668862464e+09	(-1.76575390058171e+02dB,-1.05945371362534e+02°)
1.75388050184174e+09	(-1.76137596806043e+02dB,-1.06059006042281e+02°)
1.75792361395867e+09	(-1.75696953154931e+02dB,-1.06174218150151e+02°)
1.76197604641161e+09	(-1.75253417489217e+02dB,-1.06291041150566e+02°)
1.76603782068614e+09	(-1.74806947306560e+02dB,-1.06409509463435e+02°)
1.77010895831740e+09	(-1.74357499192549e+02dB,-1.06529658498518e+02°)
1.77418948089014e+09	(-1.73905028794450e+02dB,-1.06651524691270e+02°)
1.77827941003890e+09	(-1.73449490794005e+02dB,-1.06775145540261e+02°)
1.78237876744807e+09	(-1.72990838879227e+02dB,-1.06900559646249e+02°)
1.78648757485203e+09	(-1.72529025715172e+02dB,-1.07027806752986e+02°)
1.79060585403527e+09	(-1.72064002913615e+02dB,-1.07156927789854e+02°)
1.79473362683250e+09	(-1.71595721001602e+02dB,-1.07287964916423e+02°)
1.79887091512876e+09	(-1.71124129388815e+02dB,-1.07420961569037e+02°)
1.80301774085955e+09	(-1.70649176333703e+02dB,-1.07555962509530e+02°)
1.80717412601090e+09	(-1.70170808908317e+02dB,-1.07693013876199e+02°)
1.81134009261958e+09	(-1.69688972961794e+02dB,-1.07832163237138e+02°)
1.81551566277311e+09	(-1.69203613082425e+02dB,-1.07973459646087e+02°)
1.81970085860996e+09	(-1.68714672558237e+02dB,-1.08116953700903e+02°)
1.82389570231961e+09	(-1.68222093336028e+02dB,-1.08262697604832e+02°)
1.82810021614272e+09	(-1.67725815978772e+02dB,-1.08410745230716e+02°)
1.83231442237119e+09	(-1.67225779621317e+02dB,-1.08561152188310e+02°)
1.83653834334832e+09	(-1.66721921924302e+02dB,-1.08713975894884e+02°)
1.84077200146893e+09	(-1.66214179026194e+02dB,-1.08869275649302e+02°)
1.84501541917945e+09	(-1.65702485493364e+02dB,-1.09027112709771e+02°)
1.84926861897805e+09	(-1.65186774268090e+02dB,-1.09187550375485e+02°)
1.85353162341479e+09	(-1.64666976614401e+02dB,-1.09350654072389e+02°)
1.85780445509167e+09	(-1.64143022061642e+02dB,-1.09516491443305e+02°)
1.86208713666284e+09	(-1.63614838345642e+02dB,-1.09685132442682e+02°)
1.86637969083464e+09	(-1.63082351347371e+02dB,-1.09856649436257e+02°)
1.87068214036578e+09	(-1.62545485028954e+02dB,-1.10031117305912e+02°)
1.87499450806739e+09	(-1.62004161366889e+02dB,-1.10208613560066e+02°)
1.87931681680324e+09	(-1.61458300282351e+02dB,-1.10389218449925e+02°)
1.88364908948977e+09	(-1.60907819568398e+02dB,-1.10573015091971e+02°)
1.88799134909627e+09	(-1.60352634813928e+02dB,-1.10760089597080e+02°)
1.89234361864495e+09	(-1.59792659324213e+02dB,-1.10950531206689e+02°)
1.89670592121112e+09	(-1.59227804037815e+02dB,-1.11144432436471e+02°)
1.90107827992327e+09	(-1.58657977439687e+02dB,-1.11341889228000e+02°)
1.90546071796322e+09	(-1.58083085470252e+02dB,-1.11543001108934e+02°)
1.90985325856621e+09	(-1.57503031430227e+02dB,-1.11747871362279e+02°)
1.91425592502106e+09	(-1.56917715880961e+02dB,-1.11956607205338e+02°)
1.91866874067026e+09	(-1.56327036540015e+02dB,-1.12169319979001e+02°)
1.92309172891013e+09	(-1.55730888171725e+02dB,-1.12386125348087e+02°)
1.92752491319091e+09	(-1.55129162472447e+02dB,-1.12607143513479e+02°)
1.93196831701690e+09	(-1.54521747950177e+02dB,-1.12832499436899e+02°)
1.93642196394658e+09	(-1.53908529798195e+02dB,-1.13062323079184e+02°)
1.94088587759275e+09	(-1.53289389762405e+02dB,-1.13296749653039e+02°)
1.94536008162263e+09	(-1.52664206001955e+02dB,-1.13535919891299e+02°)
1.94984459975802e+09	(-1.52032852942746e+02dB,-1.13779980331814e+02°)
1.95433945577537e+09	(-1.51395201123389e+02dB,-1.14029083620188e+02°)
1.95884467350596e+09	(-1.50751117033127e+02dB,-1.14283388831687e+02°)
1.96336027683602e+09	(-1.50100462941218e+02dB,-1.14543061813733e+02°)
1.96788628970682e+09	(-1.49443096717248e+02dB,-1.14808275550570e+02°)
1.97242273611482e+09	(-1.48778871641760e+02dB,-1.15079210551769e+02°)
1.97696964011183e+09	(-1.48107636206596e+02dB,-1.15356055266423e+02°)
1.98152702580507e+09	(-1.47429233904253e+02dB,-1.15639006525043e+02°)
1.98609491735734e+09	(-1.46743503005527e+02dB,-1.15928270011335e+02°)
1.99067333898716e+09	(-1.46050276324662e+02dB,-1.16224060766246e+02°)
1.99526231496885e+09	(-1.45349380971134e+02dB,-1.16526603726904e+02°)
1.99986186963271e+09	(-1.44640638087165e+02dB,-1.16836134303275e+02°)
2.00447202736513e+09	(-1.43923862569961e+02dB,-1.17152898995694e+02°)
2.00909281260870e+09	(-1.43198862777594e+02dB,-1.17477156056664e+02°)
2.01372424986236e+09	(-1.42465440217366e+02dB,-1.17809176200698e+02°)
2.01836636368153e+09	(-1.41723389215379e+02dB,-1.18149243366318e+02°)
2.02301917867824e+09	(-1.40972496565943e+02dB,-1.18497655534749e+02°)
2.02768271952125e+09	(-1.40212541159310e+02dB,-1.18854725610295e+02°)
2.03235701093619e+09	(-1.39443293586138e+02dB,-1.19220782367905e+02°)
2.03704207770569e+09	(-1.38664515716879e+02dB,-1.19596171473990e+02°)
2.04173794466950e+09	(-1.37875960254187e+02dB,-1.19981256587204e+02°)
2.04644463672464e+09	(-1.37077370256229e+02dB,-1.20376420546602e+02°)
2.05116217882553e+09	(-1.36268478628605e+02dB,-1.20782066655394e+02°)
2.05589059598411e+09	(-1.35449007582353e+02dB,-1.21198620069404e+02°)
2.06062991326997e+09	(-1.34618668055301e+02dB,-1.21626529300363e+02°)
2.06538015581050e+09	(-1.33777159093736e+02dB,-1.22066267845288e+02°)
2.07014134879101e+09	(-1.32924167191087e+02dB,-1.22518335954483e+02°)
2.07491351745488e+09	(-1.32059365579979e+02dB,-1.22983262552172e+02°)
2.07969668710366e+09	(-1.31182413473663e+02dB,-1.23461607325360e+02°)
2.08449088309726e+09	(-1.30292955252406e+02dB,-1.23953962998453e+02°)
2.08929613085401e+09	(-1.29390619589983e+02dB,-1.24460957813209e+02°)
2.09411245585086e+09	(-1.28475018514898e+02dB,-1.24983258236058e+02°)
2.09893988362349e+09	(-1.27545746400391e+02dB,-1.25521571917542e+02°)
2.10377843976644e+09	(-1.26602378876649e+02dB,-1.26076650931772e+02°)
2.10862814993326e+09	(-1.25644471657911e+02dB,-1.26649295327409e+02°)
2.11348903983661e+09	(-1.24671559276354e+02dB,-1.27240357025782e+02°)
2.11836113524847e+09	(-1.23683153713725e+02dB,-1.27850744106523e+02°)
2.12324446200018e+09	(-1.22678742920640e+02dB,-1.28481425526557e+02°)
2.12813904598268e+09	(-1.21657789212293e+02dB,-1.29133436324618e+02°)
2.13304491314654e+09	(-1.20619727527995e+02dB,-1.29807883370806e+02°)
2.13796208950220e+09	(-1.19563963540419e+02dB,-1.30505951729184e+02°)
2.14289060112002e+09	(-1.18489871598712e+02dB,-1.31228911711350e+02°)
2.14783047413050e+09	(-1.17396792487618e+02dB,-1.31978126710492e+02°)
2.15278173472434e+09	(-1.16284030982525e+02dB,-1.32755061918978e+02°)
2.15774440915263e+09	(-1.15150853177693e+02dB,-1.33561294048483e+02°)
2.16271852372698e+09	(-1.13996483561934e+02dB,-1.34398522190357e+02°)
2.16770410481966e+09	(-1.12820101812547e+02dB,-1.35268579976178e+02°)
2.17270117886371e+09	(-1.11620839274263e+02dB,-1.36173449224630e+02°)
2.17770977235312e+09	(-1.10397775085337e+02dB,-1.37115275292194e+02°)
2.18272991184296e+09	(-1.09149931907451e+02dB,-1.38096384382409e+02°)
2.18776162394951e+09	(-1.07876271209782e+02dB,-1.39119303113254e+02°)
2.19280493535041e+09	(-1.06575688050181e+02dB,-1.40186780696023e+02°)
2.19785987278479e+09	(-1.05247005287679e+02dB,-1.41301814144125e+02°)
2.20292646305342e+09	(-1.03888967150285e+02dB,-1.42467677009186e+02°)
2.20800473301886e+09	(-1.02500232069926e+02dB,-1.43687952238040e+02°)
2.21309470960560e+09	(-1.01079364681956e+02dB,-1.44966569862046e+02°)
2.21819641980018e+09	(-9.96248268695565e+01dB,-1.46307850375225e+02°)
2.22330989065136e+09	(-9.81349677128168e+01dB,-1.47716554837154e+02°)
2.22843514927026e+09	(-9.66080121777452e+01dB,-1.49197942959907e+02°)
